alert_id,timestamp,source_tool,alert_category,severity,affected_asset,user,source_ip,alert_description
ALT-0061,2024-05-21 11:15:57,Wazuh-FIM,Malware Detected,Critical,fin-server-01,sysadmin,192.168.1.32,Wazuh detected malware signature on fin-server-01. File flagged by ClamAV/YARA rule.
ALT-0062,2024-05-17 15:10:43,Wazuh-SCA,Firewall Rule Violation,Low,workstation-acct-01,ceo,103.45.67.89,Traffic from 103.45.67.89 to workstation-acct-01 violated firewall policy on port 3389/22.
ALT-0063,2024-05-01 00:06:52,Wazuh-FIM,Authentication Failure,Low,backup-server-01,sales_exec1,91.108.4.0,Multiple failed login attempts detected for user sales_exec1 on backup-server-01 from 91.108.4.0.
ALT-0064,2024-03-04 08:07:21,Wazuh-SCA,Ransomware Indicator,Critical,pos-terminal-02,accountant2,192.168.1.36,Mass file-rename with extension .enc detected on pos-terminal-02. Possible ransomware.
ALT-0065,2024-05-11 12:31:49,Sysmon,Policy Violation,Medium,workstation-hr-01,fin_manager,77.88.55.66,USB mass-storage device inserted by fin_manager on workstation-hr-01 outside approved hours.
ALT-0066,2024-02-25 17:06:53,Wazuh-NIDS,Malware Detected,Critical,workstation-acct-01,it_support,192.168.1.29,Wazuh detected malware signature on workstation-acct-01. File flagged by ClamAV/YARA rule.
ALT-0067,2024-04-09 06:14:36,Wazuh-SCA,Firewall Rule Violation,Medium,workstation-acct-02,sales_exec2,192.168.1.23,Traffic from 192.168.1.23 to workstation-acct-02 violated firewall policy on port 3389/22.
ALT-0068,2024-03-06 02:05:25,Wazuh-HIDS,Policy Violation,Low,pos-terminal-01,sysadmin,172.67.0.0,USB mass-storage device inserted by sysadmin on pos-terminal-01 outside approved hours.
ALT-0069,2024-01-09 23:22:17,Wazuh-NIDS,Brute Force Attack,High,web-server-01,SYSTEM,103.45.67.89,Brute-force SSH/RDP attack detected against web-server-01 from external IP 103.45.67.89.
ALT-0070,2024-02-07 18:08:01,Sysmon,Unauthorised File Access,Medium,workstation-acct-02,sales_exec1,192.168.1.46,User sales_exec1 accessed restricted directory /finance/payroll on workstation-acct-02.
ALT-0071,2024-06-22 08:05:46,Wazuh-HIDS,Policy Violation,Medium,workstation-acct-02,sales_exec1,103.45.67.89,USB mass-storage device inserted by sales_exec1 on workstation-acct-02 outside approved hours.
ALT-0072,2024-03-31 04:57:33,Wazuh-HIDS,Firewall Rule Violation,Low,dc-server-01,SYSTEM,192.168.1.43,Traffic from 192.168.1.43 to dc-server-01 violated firewall policy on port 3389/22.
ALT-0073,2024-05-09 15:08:15,Suricata,Lateral Movement,High,printer-office-01,sysadmin,192.168.1.39,SMB lateral movement detected: sysadmin connecting from 192.168.1.39 to internal hosts.
ALT-0074,2024-03-23 20:45:21,Suricata,Lateral Movement,Critical,laptop-sales-01,sales_exec2,192.168.1.42,SMB lateral movement detected: sales_exec2 connecting from 192.168.1.42 to internal hosts.
ALT-0075,2024-06-12 02:02:41,Sysmon,Unauthorised File Access,Medium,pos-terminal-02,sales_exec2,192.168.1.25,User sales_exec2 accessed restricted directory /finance/payroll on pos-terminal-02.
ALT-0076,2024-05-18 13:21:36,Wazuh-FIM,Suspicious Process Execution,High,pos-terminal-01,accountant1,185.220.101.45,Suspicious process spawned by accountant1 on pos-terminal-01: cmd.exe -> powershell -enc ...
ALT-0077,2024-01-27 20:52:11,Wazuh-NIDS,Brute Force Attack,High,backup-server-01,hr_officer,192.168.1.15,Brute-force SSH/RDP attack detected against backup-server-01 from external IP 192.168.1.15.
ALT-0078,2024-03-21 13:25:28,Wazuh-SCA,Brute Force Attack,High,pos-terminal-02,fin_manager,192.168.1.14,Brute-force SSH/RDP attack detected against pos-terminal-02 from external IP 192.168.1.14.
ALT-0079,2024-03-16 15:05:36,Suricata,Data Exfiltration Attempt,Critical,workstation-acct-01,admin,77.88.55.66,Large outbound transfer (>500 MB) detected from workstation-acct-01 by user admin to 77.88.55.66.
ALT-0080,2024-01-02 03:28:39,Wazuh-FIM,Policy Violation,Low,laptop-remote-01,SYSTEM,192.168.1.40,USB mass-storage device inserted by SYSTEM on laptop-remote-01 outside approved hours.
ALT-0081,2024-06-04 07:39:21,Suricata,Suspicious Process Execution,High,laptop-remote-01,sales_exec1,192.168.1.44,Suspicious process spawned by sales_exec1 on laptop-remote-01: cmd.exe -> powershell -enc ...
ALT-0082,2024-03-16 12:12:21,Wazuh-FIM,Brute Force Attack,High,web-server-01,accountant2,192.168.1.11,Brute-force SSH/RDP attack detected against web-server-01 from external IP 192.168.1.11.
ALT-0083,2024-04-30 19:55:39,Suricata,Ransomware Indicator,Critical,pos-terminal-02,fin_manager,192.168.1.18,Mass file-rename with extension .enc detected on pos-terminal-02. Possible ransomware.
ALT-0084,2024-05-04 19:25:49,Wazuh-SCA,Authentication Failure,Medium,workstation-mgmt-01,ceo,192.168.1.15,Multiple failed login attempts detected for user ceo on workstation-mgmt-01 from 192.168.1.15.
ALT-0085,2024-02-11 02:24:30,Wazuh-SCA,Malware Detected,Critical,dc-server-01,admin,91.108.4.0,Wazuh detected malware signature on dc-server-01. File flagged by ClamAV/YARA rule.
ALT-0086,2024-02-18 23:40:13,Wazuh-HIDS,Data Exfiltration Attempt,Critical,laptop-sales-01,sales_exec1,77.88.55.66,Large outbound transfer (>500 MB) detected from laptop-sales-01 by user sales_exec1 to 77.88.55.66.
ALT-0087,2024-02-13 12:57:03,Sysmon,Unauthorised File Access,Medium,pos-terminal-02,it_support,91.108.4.0,User it_support accessed restricted directory /finance/payroll on pos-terminal-02.
ALT-0088,2024-06-11 23:05:23,Wazuh-HIDS,Privilege Escalation,High,laptop-sales-01,admin,192.168.1.22,User admin attempted to escalate privileges on laptop-sales-01 using sudo/runas.
ALT-0089,2024-04-19 12:17:19,Wazuh-NIDS,Reconnaissance / Port Scan,Low,web-server-01,fin_manager,192.168.1.17,Port scan from 192.168.1.17 targeting internal subnet; web-server-01 probed on 1024+ ports.
ALT-0090,2024-05-25 05:35:10,Sysmon,Unauthorised File Access,High,laptop-sales-01,hr_officer,172.67.0.0,User hr_officer accessed restricted directory /finance/payroll on laptop-sales-01.
ALT-0091,2024-04-21 19:24:26,Sysmon,Privilege Escalation,High,db-server-01,sysadmin,192.168.1.29,User sysadmin attempted to escalate privileges on db-server-01 using sudo/runas.
ALT-0092,2024-01-20 18:53:40,Sysmon,Firewall Rule Violation,Medium,pos-terminal-02,accountant1,198.51.100.23,Traffic from 198.51.100.23 to pos-terminal-02 violated firewall policy on port 3389/22.
ALT-0093,2024-04-13 10:46:22,Wazuh-SCA,Suspicious Process Execution,Medium,laptop-sales-01,ceo,192.168.1.32,Suspicious process spawned by ceo on laptop-sales-01: cmd.exe -> powershell -enc ...
ALT-0094,2024-06-13 23:18:33,Wazuh-SCA,Ransomware Indicator,Critical,erp-server-01,it_support,192.168.1.10,Mass file-rename with extension .enc detected on erp-server-01. Possible ransomware.
ALT-0095,2024-05-17 08:17:49,Wazuh-NIDS,Unauthorised File Access,Medium,workstation-acct-01,hr_officer,192.168.1.39,User hr_officer accessed restricted directory /finance/payroll on workstation-acct-01.
ALT-0096,2024-04-29 14:21:34,Suricata,Firewall Rule Violation,Low,pos-terminal-02,it_support,192.168.1.27,Traffic from 192.168.1.27 to pos-terminal-02 violated firewall policy on port 3389/22.
ALT-0097,2024-06-14 09:16:15,Wazuh-NIDS,Unauthorised File Access,High,workstation-acct-01,service_account,192.168.1.30,User service_account accessed restricted directory /finance/payroll on workstation-acct-01.
ALT-0098,2024-04-20 15:41:30,Suricata,Privilege Escalation,Critical,printer-office-01,sales_exec2,162.158.0.1,User sales_exec2 attempted to escalate privileges on printer-office-01 using sudo/runas.
ALT-0099,2024-02-05 07:26:06,Wazuh-SCA,Ransomware Indicator,Critical,backup-server-01,admin,192.168.1.30,Mass file-rename with extension .enc detected on backup-server-01. Possible ransomware.
ALT-0100,2024-05-16 03:45:11,Wazuh-FIM,Brute Force Attack,High,laptop-sales-01,accountant2,172.67.0.0,Brute-force SSH/RDP attack detected against laptop-sales-01 from external IP 172.67.0.0.
ALT-0101,2024-04-04 20:56:16,Suricata,Lateral Movement,High,workstation-hr-01,accountant1,77.88.55.66,SMB lateral movement detected: accountant1 connecting from 77.88.55.66 to internal hosts.
ALT-0102,2024-01-19 01:39:36,Wazuh-FIM,Brute Force Attack,High,pos-terminal-01,service_account,192.168.1.11,Brute-force SSH/RDP attack detected against pos-terminal-01 from external IP 192.168.1.11.
ALT-0103,2024-03-12 15:45:35,Wazuh-SCA,Brute Force Attack,High,pos-terminal-02,accountant1,172.67.0.0,Brute-force SSH/RDP attack detected against pos-terminal-02 from external IP 172.67.0.0.
ALT-0104,2024-05-16 11:32:29,Wazuh-SCA,Lateral Movement,Critical,workstation-acct-01,service_account,192.168.1.32,SMB lateral movement detected: service_account connecting from 192.168.1.32 to internal hosts.
ALT-0105,2024-03-02 06:33:36,Wazuh-HIDS,Suspicious Process Execution,High,db-server-01,accountant1,198.51.100.23,Suspicious process spawned by accountant1 on db-server-01: cmd.exe -> powershell -enc ...
ALT-0106,2024-05-20 16:48:39,Suricata,Policy Violation,Low,web-server-01,accountant1,192.168.1.27,USB mass-storage device inserted by accountant1 on web-server-01 outside approved hours.
ALT-0107,2024-02-04 20:15:29,Wazuh-FIM,Lateral Movement,Critical,erp-server-01,accountant1,91.108.4.0,SMB lateral movement detected: accountant1 connecting from 91.108.4.0 to internal hosts.
ALT-0108,2024-02-26 17:27:19,Sysmon,Authentication Failure,Low,db-server-01,admin,192.168.1.45,Multiple failed login attempts detected for user admin on db-server-01 from 192.168.1.45.
ALT-0109,2024-04-02 22:58:11,Wazuh-SCA,Malware Detected,Critical,erp-server-01,admin,192.168.1.40,Wazuh detected malware signature on erp-server-01. File flagged by ClamAV/YARA rule.
ALT-0110,2024-01-23 03:41:04,Wazuh-HIDS,Data Exfiltration Attempt,High,fin-server-01,accountant2,192.168.1.40,Large outbound transfer (>500 MB) detected from fin-server-01 by user accountant2 to 192.168.1.40.
ALT-0111,2024-01-30 11:05:56,Wazuh-NIDS,Firewall Rule Violation,Medium,erp-server-01,ceo,192.168.1.13,Traffic from 192.168.1.13 to erp-server-01 violated firewall policy on port 3389/22.
ALT-0112,2024-04-27 17:38:42,Suricata,Reconnaissance / Port Scan,Medium,erp-server-01,accountant1,77.88.55.66,Port scan from 77.88.55.66 targeting internal subnet; erp-server-01 probed on 1024+ ports.
ALT-0113,2024-02-27 17:45:57,Suricata,Reconnaissance / Port Scan,Low,laptop-sales-01,it_support,162.158.0.1,Port scan from 162.158.0.1 targeting internal subnet; laptop-sales-01 probed on 1024+ ports.
ALT-0114,2024-05-28 02:36:45,Wazuh-NIDS,Firewall Rule Violation,Medium,workstation-mgmt-01,ceo,185.220.101.45,Traffic from 185.220.101.45 to workstation-mgmt-01 violated firewall policy on port 3389/22.
ALT-0115,2024-02-03 18:01:47,Suricata,Ransomware Indicator,Critical,db-server-01,guest_user,198.51.100.23,Mass file-rename with extension .enc detected on db-server-01. Possible ransomware.
ALT-0116,2024-04-01 05:57:03,Wazuh-FIM,Privilege Escalation,High,fin-server-01,sales_exec1,192.168.1.48,User sales_exec1 attempted to escalate privileges on fin-server-01 using sudo/runas.
ALT-0117,2024-01-14 19:43:18,Sysmon,Authentication Failure,Low,db-server-01,service_account,162.158.0.1,Multiple failed login attempts detected for user service_account on db-server-01 from 162.158.0.1.
ALT-0118,2024-03-23 13:17:28,Wazuh-HIDS,Brute Force Attack,High,laptop-sales-01,SYSTEM,192.168.1.22,Brute-force SSH/RDP attack detected against laptop-sales-01 from external IP 192.168.1.22.
ALT-0119,2024-01-14 20:47:38,Wazuh-HIDS,Lateral Movement,High,pos-terminal-01,fin_manager,192.168.1.19,SMB lateral movement detected: fin_manager connecting from 192.168.1.19 to internal hosts.
ALT-0120,2024-03-26 06:36:12,Wazuh-HIDS,Malware Detected,Critical,workstation-mgmt-01,service_account,192.168.1.28,Wazuh detected malware signature on workstation-mgmt-01. File flagged by ClamAV/YARA rule.
ALT-0121,2024-04-14 20:29:47,Wazuh-SCA,Unauthorised File Access,High,pos-terminal-02,sales_exec1,192.168.1.42,User sales_exec1 accessed restricted directory /finance/payroll on pos-terminal-02.
ALT-0122,2024-04-27 05:30:34,Wazuh-FIM,Unauthorised File Access,Medium,workstation-mgmt-01,admin,192.168.1.30,User admin accessed restricted directory /finance/payroll on workstation-mgmt-01.
ALT-0123,2024-04-24 00:11:28,Wazuh-HIDS,Authentication Failure,Low,web-server-01,guest_user,192.168.1.46,Multiple failed login attempts detected for user guest_user on web-server-01 from 192.168.1.46.
ALT-0124,2024-04-01 08:41:33,Suricata,Ransomware Indicator,Critical,workstation-mgmt-01,admin,192.168.1.21,Mass file-rename with extension .enc detected on workstation-mgmt-01. Possible ransomware.
ALT-0125,2024-03-25 15:22:16,Sysmon,Ransomware Indicator,Critical,printer-office-01,accountant2,172.67.0.0,Mass file-rename with extension .enc detected on printer-office-01. Possible ransomware.
ALT-0126,2024-05-10 03:02:54,Wazuh-HIDS,Unauthorised File Access,Medium,workstation-acct-02,hr_officer,192.168.1.30,User hr_officer accessed restricted directory /finance/payroll on workstation-acct-02.
ALT-0127,2024-06-06 23:29:33,Suricata,Malware Detected,Critical,workstation-acct-01,service_account,192.168.1.35,Wazuh detected malware signature on workstation-acct-01. File flagged by ClamAV/YARA rule.
ALT-0128,2024-05-30 00:20:03,Wazuh-SCA,Authentication Failure,Medium,erp-server-01,hr_officer,185.220.101.45,Multiple failed login attempts detected for user hr_officer on erp-server-01 from 185.220.101.45.
ALT-0129,2024-02-06 10:11:52,Suricata,Lateral Movement,High,pos-terminal-01,it_support,192.168.1.13,SMB lateral movement detected: it_support connecting from 192.168.1.13 to internal hosts.
ALT-0130,2024-02-21 20:34:20,Suricata,Data Exfiltration Attempt,Critical,pos-terminal-01,sales_exec2,192.168.1.23,Large outbound transfer (>500 MB) detected from pos-terminal-01 by user sales_exec2 to 192.168.1.23.
ALT-0131,2024-05-02 08:06:59,Suricata,Malware Detected,Critical,workstation-acct-02,service_account,192.168.1.11,Wazuh detected malware signature on workstation-acct-02. File flagged by ClamAV/YARA rule.
ALT-0132,2024-01-19 02:23:10,Wazuh-NIDS,Brute Force Attack,Medium,db-server-01,it_support,77.88.55.66,Brute-force SSH/RDP attack detected against db-server-01 from external IP 77.88.55.66.
ALT-0133,2024-06-30 02:28:41,Sysmon,Privilege Escalation,Critical,erp-server-01,guest_user,192.168.1.41,User guest_user attempted to escalate privileges on erp-server-01 using sudo/runas.
ALT-0134,2024-03-29 16:46:45,Suricata,Suspicious Process Execution,High,workstation-acct-01,sales_exec2,192.168.1.25,Suspicious process spawned by sales_exec2 on workstation-acct-01: cmd.exe -> powershell -enc ...
ALT-0135,2024-06-16 18:39:26,Wazuh-HIDS,Malware Detected,Critical,web-server-01,ceo,192.168.1.18,Wazuh detected malware signature on web-server-01. File flagged by ClamAV/YARA rule.
ALT-0136,2024-02-24 22:07:30,Sysmon,Suspicious Process Execution,High,backup-server-01,SYSTEM,192.168.1.10,Suspicious process spawned by SYSTEM on backup-server-01: cmd.exe -> powershell -enc ...
ALT-0137,2024-03-08 00:23:38,Wazuh-FIM,Suspicious Process Execution,High,laptop-remote-01,fin_manager,192.168.1.40,Suspicious process spawned by fin_manager on laptop-remote-01: cmd.exe -> powershell -enc ...
ALT-0138,2024-04-21 00:46:12,Wazuh-SCA,Lateral Movement,Critical,workstation-acct-02,hr_officer,192.168.1.25,SMB lateral movement detected: hr_officer connecting from 192.168.1.25 to internal hosts.
